1171858,7232003,Altscheid,54636,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
1424389,13071001,Alt Schwerin,17214,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
2808120,8436005,Altshausen,88361,Landkreis Ravensburg,Baden-Württemberg
1269731,7135004,Altstrimmig,56858,Landkreis Cochem-Zell,Rheinland-Pfalz
1996945,13072003,Alt Sührkow,17166,Landkreis Rostock,Mecklenburg-Vorpommern
1427539,13075002,Alt Tellin,17129,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
1332921,12064009,Alt Tucheband,15328,Landkreis Märkisch-Oderland,Brandenburg
957781,9780112,Altusried,87452,Landkreis Oberallgäu,Bayern
1408065,13075003,Altwarp,17375,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
1241628,7140002,Altweidelbach,55469,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
1410793,13075004,Altwigshagen,17379,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
1451533,13076002,Alt Zachun,19230,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
1388877,12061005,Alt Zauche-Wußwerk,15913,Landkreis Dahme-Spreewald,Brandenburg
442764,1060002,Alveslohe,25486,Kreis Segeberg,Schleswig-Holstein
534148,9671111,Alzenau,63755,Landkreis Aschaffenburg,Bayern
902672,7331003,Alzey,55232,Landkreis Alzey-Worms,Rheinland-Pfalz
62772,9361000,Amberg,92224,,Bayern
958187,9778111,Amberg,86854,Landkreis Unterallgäu,Bayern
1846190,3355002,Amelinghausen,21385,Landkreis Lüneburg,Niedersachsen
2156163,9187113,Amerang,83123,Landkreis Rosenheim,Bayern
962454,9779112,Amerdingen,86735,Landkreis Donau-Ries,Bayern
9206494,16071102,Am Ettersberg,99439,Landkreis Weimarer Land,Thüringen
1286625,15083025,Am Großen Bruch,39393,Landkreis Börde,Sachsen-Anhalt
1171847,7232004,Ammeldingen an der Our,54675,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
1171880,7232005,Ammeldingen bei Neuerburg,54673,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
176780,12072002,Am Mellensee,15838,Landkreis Teltow-Fläming,Brandenburg
2778907,8416048,Ammerbuch,72119,Landkreis Tübingen,Baden-Württemberg
1016395,9573111,Ammerndorf,90614,Landkreis Fürth,Bayern
312038,1062090,Ammersbek,22949,Kreis Stormarn,Schleswig-Holstein
1028553,9371111,Ammerthal,92260,Landkreis Amberg-Sulzbach,Bayern
2799906,16061116,Am Ohmberg,37345,Landkreis Eichsfeld,Thüringen
225501,6534001,Amöneburg,35287,Landkreis Marburg-Biedenkopf,Hessen
393471,9676112,Amorbach,63916,Landkreis Miltenberg,Bayern
941001,9183112,Ampfing,84539,Landkreis Mühldorf am Inn,Bayern
394330,13072005,Am Salzhaff,18233,Landkreis Rostock,Mecklenburg-Vorpommern
2770608,8425008,Amstetten,73340,Alb-Donau-Kreis,Baden-Württemberg
10519401,16063104,Amt Creuzburg,99831,Wartburgkreis,Thüringen
1851834,3355049,Amt Neuhaus,19273,Landkreis Lüneburg,Niedersachsen
422409,14521010,Amtsberg,09439,Erzgebirgskreis,Sachsen
2666038,16070028,Amt Wachsenburg,99334,Ilm-Kreis,Thüringen
2808296,8436006,Amtzell,88279,Landkreis Ravensburg,Baden-Württemberg
932296,9188117,Andechs,82346,Landkreis Starnberg,Bayern
1079012,3357003,Anderlingen,27446,Landkreis Rotenburg (Wümme),Niedersachsen
541666,7137003,Andernach,56626,Landkreis Mayen-Koblenz,Rheinland-Pfalz
2402486,15084012,An der Poststraße,06647,Burgenlandkreis,Sachsen-Anhalt
9205121,16065088,An der Schmücke,06577,Kyffhäuserkreis,Thüringen
2006684,3454001,Andervenne,49832,Landkreis Emsland,Niedersachsen
2411239,16068002,Andisleben,99189,Landkreis Sömmerda,Thüringen
453373,8226102,Angelbachtal,74918,Rhein-Neckar-Kreis,Baden-Württemberg
225487,6534002,Angelburg,35719,Landkreis Marburg-Biedenkopf,Hessen
941791,9172112,Anger,83454,Landkreis Berchtesgadener Land,Bayern
1334084,12073008,Angermünde,16278,Landkreis Uckermark,Brandenburg
1286657,15083030,Angern,39326,Landkreis Börde,Sachsen-Anhalt
1286657,15083030,Angern,39517,Landkreis Börde,Sachsen-Anhalt
444701,7138002,Anhausen,56584,Landkreis Neuwied,Rheinland-Pfalz
1424417,13071005,Ankershagen,17219,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
1432550,13075005,Anklam,17389,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
1817198,3459002,Ankum,49577,Landkreis Osnabrück,Niedersachsen
536625,14521020,Annaberg-Buchholz,09456,Erzgebirgskreis,Sachsen
2283775,15091010,Annaburg,06925,Landkreis Wittenberg,Sachsen-Anhalt
1252764,7337501,Annweiler am Trifels,76855,Landkreis Südliche Weinstraße,Rheinland-Pfalz
153400,5974004,Anröchte,59609,Kreis Soest,Nordrhein-Westfalen
62654,9561000,Ansbach,91522,,Bayern
